trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
236,False,"{'a': 0.5, 'e': 0.09442022319630354}",20,13,13.612557401275446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09348072627805967}",20,0,22.7941929334985,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
238,False,"{'a': 0.5, 'e': 0.09255057751034447}",20,0,-8.203922963063784,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.09162968387750604}",20,4,24.25634676867903,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.09071795328941369}",25,13,15.841770062429713,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08981529457224882}",20,0,-16.561520531200035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
242,False,"{'a': 0.5, 'e': 0.08892161745938751}",20,0,27.72791924270912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.5, 'e': 0.08803683258237373}",25,11,10.116410214630072,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.08716085146198245}",25,15,17.73391559792172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08629358649937166}",25,13,19.801912302325935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08543495096732237}",35,0,33.596817799856396,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.08458485900156584}",25,8,-15.359752117579927,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08374322559219709}",20,8,23.083426114472637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08290996657517381}",30,22,-27.36117294515563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.08208499862389992}",20,8,20.76411147921441,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08126823924089281}",30,7,23.43323731563758,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.08045960674953355}",30,11,27.219942009897697,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07965902028589913}",20,0,16.74085741262751,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
254,False,"{'a': 0.5, 'e': 0.07886639979067604}",25,9,26.248103860691575,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07808166600115424}",25,6,34.090351627288705,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07730474044330082}",20,4,23.449335647151077,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07653554542391257}",35,5,47.94400235843314,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07577400402284654}",20,2,25.363480709811167,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.075020040085328}",20,9,17.03045908780956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07427357821433492}",30,0,-11.187727266611148,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
